Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Williams, A,SWA,3.2m,35,0,2,0,2,9,0,49,-,0,8,0,31.2,100
 Soares, C,SOT,3.1m,23,1,0,0,5,10,1,19,-,0,3,0,32.3,100
 Antonio, M,WHM,2.9m,24,4,7,0,6,-,-,-,-,0,5,0,34.5,100
 Carroll, A,WHM,5.3m,11,16,9,0,6,-,-,-,-,0,2,0,18.7,99
 Mitrovic, A,NEW,4.7m,22,10,8,0,4,-,-,-,-,1,4,0,21.1,99
 Rose, D,TOT,3.1m,23,0,1,0,6,8,0,18,-,0,7,0,31.9,99
 Daniels, C,BOU,2.5m,35,0,3,1,6,-,-,-,-,0,2,0,39.6,99
 Pedro,CHE,5.1m,24,6,7,0,4,-,-,-,-,0,3,0,19.2,98
 Kone, A,EVE,4.4m,18,9,7,0,6,-,-,-,-,0,1,0,22.0,97
 Lallana, A,LIV,4.3m,22,7,4,0,9,-,-,-,-,0,2,0,22.3,96
 Moreno, A,LIV,3.7m,26,4,1,0,6,6,3,35,-,0,3,0,25.9,96
 Butland, J,STO,3.1m,31,0,0,0,0,10,0,37,0,0,0,0,31.0,96
 Silva, D,MCY,5.8m,22,2,1,0,15,-,-,-,-,0,1,0,16.4,95
 Souare, P,CRY,2.5m,35,0,0,0,2,9,0,41,-,1,5,1,38.0,95
 Oscar,CHE,4.8m,22,7,6,2,7,-,-,-,-,0,4,0,19.6,94
 Bolasie, Y,CRY,3.6m,23,4,6,0,6,-,-,-,-,0,4,0,26.1,94
 Evans, J,WBA,3.6m,30,0,1,0,1,9,2,35,-,0,3,0,26.1,94
 Hoolahan, W,NOR,3.4m,22,4,4,0,9,-,-,-,-,0,1,0,27.6,94
 Ogbonna, A,WHM,3.3m,28,1,1,0,0,9,2,29,-,0,4,0,28.5,94
 Fabianski, L,SWA,3.2m,35,0,0,0,1,9,0,49,0,0,1,0,29.4,94
 Brady, R,NOR,3.0m,32,0,3,0,6,-,-,-,-,0,3,0,31.3,94
 Berahino, S,WBA,5.4m,20,13,7,2,3,-,-,-,-,0,0,0,17.2,93
 Okazaki, S,LEI,4.1m,26,9,6,0,1,-,-,-,-,0,1,0,22.7,93
 Deulofeu, G,EVE,3.6m,16,11,2,0,14,-,-,-,-,0,2,0,25.8,93
 Sissoko, M,NEW,3.6m,35,0,1,0,7,-,-,-,-,0,3,0,25.8,93
